task_name,record_count,fields_present,target_entity_types,point_annotations,region_annotations,four_coordinate_boxes,text_field,image_resource_field,source_id_field,review_required_records,sample_record
Air_Ground_Collaborative_Planning,208,question_id|metadata|target_entities|question_meta|question|options|answer,"{""human"": 274, ""object"": 194, ""point"": 111, ""region"": 134}",111,134,602,question,metadata.data_resources,question_id,30,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""ERA_Dataset"", ""data_type"": ""video_frames"", ""data_resources"": [{""path"": ""images/annotated/Air_Ground_Collaborative_Planning/Air_Ground_Collaborative_Planning_0000/0.jpg"", ""index"": 0}, {""path"": ""images/annotated/Air_Ground_Collaborative_Planning/Air_Ground_Collaborative_Planning_0000/1.jpg"", ""index"": 1}, {""path"": ""images/annotated/Air_Ground_Collaborative_Planning/Air_Ground_Collaborative_Planning_0000/2.jpg"", ""index"": 2}, {""path"": ""images/annotated/Air_Ground_Collaborative_Planning/Air_Ground_Collaborative_Planning_0000/3.jpg"", ""index"": 3}, {""path"": ""images/annotated/Air_Ground_Collaborative_Planning/Air_Ground_Collaborative_Planning_0000/4.jpg"", ""index"": 4}, {""path"": ""images/annotated/Air_Ground_Collaborative_Planning/Air_Ground_Collaborative_Planning_0000/5.jpg"", ""index"": 5}]}, ""target_entities"": [{""entity_type"": ""human"", ""bbox"": [407.8877930745, 77.71489302822837, 418.14902808467946, 98.23736304858727], ""index"": 5, ""label"": ""Person A"", ""description"": "", , ""}, {""entity_type"": ""human"", ""bbox"": [556.6757007221023, 150.05659984999346, 568.4761209838086, 171.6051933713703], ""index"": 5, ""label"": ""Person B"", ""description"": "", , ""}, {""entity_type"": ""point"", ""bbox"": [409.36451880113094, 270.4664984747829], ""index"": 5, ""label"": ""point""}, {""entity_type"": ""region"", ""bbox"": [550.6205902353489, 17.98519861365139, 595.5382919435939, 43.1391115702686], ""index"": 5, ""label"": ""Region C""}], ""question_meta"": {""category"": ""Planning"", ""subcategory"": ""Air-Ground Collaborative Planning""}, ""question"": ""Among the two people framed in the picture, one needs to be dispatched to pick up the ball at the circular area and then proceed to place it in the <grounding box> in the middle of the court. What is the optimal dispatch plan and action? How should the drone assist in their subsequent actions?"", ""options"": {""A"": ""Dispatch Person A to pick up the ball in the circular area and then directly go to the <grounding box> to place the ball. The drone will first lower its altitude to follow Person A's movements, and then ascend after picking up the ball to provide real-time monitoring and assist the subsequent team actions."", ""B"": ""Dispatch Person B to pick up the ball in the circular area and then directly go to the <grounding box> to place the ball. The drone will first lower its altitude to follow Person B's movements, and then ascend after picking up the ball to provide real-time monitoring and assist the subsequent team actions."", ""C"": ""Both of them go to the circular area, and A picks up the ball while B accompanies them. However, only A goes to place the ball. The drone will first lower its altitude and then ascend to guide the path."", ""D"": ""Both of them go to the circular area, and B picks up the ball while A accompanies them. However, only B goes to place the ball. The drone will first ascend and then descend its altitude while picking up the ball to guide the path.""}, ""answer"": ""B""}"
Class_Agnostic_Counting,330,question_id|metadata|target_entities|question_meta|question|options|answer,{},0,0,0,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""animaldrone"", ""data_type"": ""single_image"", ""data_resources"": [{""path"": ""images/annotated/Class_Agnostic_Counting/Class_Agnostic_Counting_0000.jpg"", ""index"": 0}]}, ""target_entities"": [], ""question_meta"": {""category"": ""Perception"", ""subcategory"": ""Class Agnostic Counting""}, ""question"": ""Please count the number of the objects in the image that belong to the category: sheep"", ""options"": {""A"": ""440"", ""B"": ""308"", ""C"": ""572"", ""D"": ""704"", ""E"": ""176""}, ""answer"": ""A""}"
Cross_Object_Reasoning,172,question_id|metadata|target_entities|question_meta|question|options|answer,"{""human"": 127, ""object"": 225}",0,0,352,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""visdrone"", ""data_type"": ""single_image"", ""data_resources"": [{""path"": ""images/annotated/Cross_Object_Reasoning/Cross_Object_Reasoning_0000.jpg"", ""index"": 109}]}, ""target_entities"": [{""entity_type"": ""human"", ""bbox"": [837, 372, 847, 399], ""index"": 109, ""label"": ""male, adult, t-shirt""}, {""entity_type"": ""human"", ""bbox"": [846, 373, 854, 396], ""index"": 109, ""label"": ""female, adult, t-shirt""}], ""question_meta"": {""category"": ""Cognition"", ""subcategory"": ""Cross-Object Reasoning""}, ""question"": ""Based on the target with bbox, what are the two people doing in the picture?"", ""options"": {""A"": ""walking forward side by side"", ""B"": ""walking forward hand in hand"", ""C"": ""walking forward with arms around each other's shoulders"", ""D"": ""walking forward arm in arm""}, ""answer"": ""A""}"
Environment_State_Classification,323,question_id|metadata|target_entities|question_meta|question|options|answer,{},0,0,0,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""visdrone"", ""data_type"": ""single_image"", ""data_resources"": [{""path"": ""images/annotated/Environment_State_Classification/Environment_State_Classification_0000.jpg"", ""index"": 0}]}, ""target_entities"": [], ""question_meta"": {""category"": ""Perception"", ""subcategory"": ""Environment State Classification""}, ""question"": ""What are the lighting and weather conditions in this image?"", ""options"": {""A"": ""daytime and stormy"", ""B"": ""daytime and snowy"", ""C"": ""daytime and rainy"", ""D"": ""daytime and cloudy""}, ""answer"": ""D""}"
Event_Prediction,247,question_id|metadata|target_entities|question_meta|question|options|answer,{},0,0,0,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""ERA"", ""data_type"": ""video"", ""data_resources"": [{""path"": ""images/annotated/Event_Prediction/Event_Prediction_0000.mp4"", ""index"": 0}]}, ""target_entities"": [], ""question_meta"": {""category"": ""Cognition"", ""subcategory"": ""Event Prediction""}, ""question"": ""The batter connects with the pitch during a significant rainstorm. Based on the mechanics of the swing and the immediate reactions of the players, what is the most logical conclusion for this play?"", ""options"": {""A"": ""The hit will be a grand slam, as the pitcher's wet grip likely resulted in an easy pitch to hit."", ""B"": ""The play will result in a ground-rule double after the ball lands fair and is slowed by the wet outfield."", ""C"": ""The batter will hit a home run, indicated by the powerful swing and the pitcher turning to watch the ball's long flight."", ""D"": ""An outfielder will misjudge the ball's trajectory due to the rain, allowing it to drop for a three-base error.""}, ""answer"": ""C""}"
Event_Tracing,243,question_id|metadata|target_entities|question_meta|question|options|answer,{},0,0,0,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""ERA"", ""data_type"": ""video"", ""data_resources"": [{""path"": ""images/annotated/Event_Tracing/Event_Tracing_0000.mp4"", ""index"": 0}]}, ""target_entities"": [], ""question_meta"": {""category"": ""Cognition"", ""subcategory"": ""Event Tracing""}, ""question"": ""Why does the baseball game in the video not seem to be in progress?"", ""options"": {""A"": ""The game has not yet started, and the players are warming up"", ""B"": ""The game is over, and the players are taking short breaks and light exercise"", ""C"": ""The game has been suspended and the players are taking a short break"", ""D"": ""The game has begun, and it's not time to pitch yet""}, ""answer"": ""D""}"
Event_Understanding,301,question_id|metadata|target_entities|question_meta|question|options|answer,{},0,0,0,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""ERA"", ""data_type"": ""video"", ""data_resources"": [{""path"": ""images/annotated/Event_Understanding/Event_Understanding_0000.mp4"", ""index"": 0}]}, ""target_entities"": [], ""question_meta"": {""category"": ""Cognition"", ""subcategory"": ""Event Understanding""}, ""question"": ""What event is shown in the video?"", ""options"": {""A"": ""A player runs from left to right"", ""B"": ""A player runs from right to left"", ""C"": ""A player walks from left to right"", ""D"": ""A player walks from right to left""}, ""answer"": ""A""}"
Ground_Target_Planning,325,question_id|metadata|target_entities|question_meta|question|options|answer,"{""point"": 1566, ""region"": 1}",1566,1,1,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""AIDER"", ""data_type"": ""single_image"", ""data_resources"": [{""path"": ""images/annotated/Ground_Target_Planning/Ground_Target_Planning_0000.jpg"", ""index"": 0}]}, ""target_entities"": [{""entity_type"": ""point"", ""bbox"": [178.7420024182229, 236.80464985514624], ""index"": 0, ""label"": ""A""}, {""entity_type"": ""point"", ""bbox"": [267.14999089268986, 139.79480304262296], ""index"": 0, ""label"": ""B""}, {""entity_type"": ""point"", ""bbox"": [123.78568525841904, 36.094621967167114], ""index"": 0, ""label"": ""C""}, {""entity_type"": ""point"", ""bbox"": [8.13847871344063, 131.67082572334766], ""index"": 0, ""label"": ""D""}], ""question_meta"": {""category"": ""Planning"", ""subcategory"": ""Ground-Target Planning""}, ""question"": ""Given the current disaster situation, which spot is the best location to place supplies?"", ""options"": {""A"": ""Point A"", ""B"": ""Point B"", ""C"": ""Point C"", ""D"": ""Point D""}, ""answer"": ""A""}"
Intent_Analysis_and_Prediction,310,question_id|metadata|target_entities|question_meta|question|options|answer,"{""human"": 672, ""object"": 943}",0,0,1615,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""mavrec"", ""data_type"": ""multi_images"", ""data_resources"": [{""path"": ""images/annotated/Intent_Analysis_and_Prediction/Intent_Analysis_and_Prediction_0000/1.jpg"", ""index"": 1}, {""path"": ""images/annotated/Intent_Analysis_and_Prediction/Intent_Analysis_and_Prediction_0000/2.jpg"", ""index"": 2}, {""path"": ""images/annotated/Intent_Analysis_and_Prediction/Intent_Analysis_and_Prediction_0000/3.jpg"", ""index"": 3}, {""path"": ""images/annotated/Intent_Analysis_and_Prediction/Intent_Analysis_and_Prediction_0000/6.jpg"", ""index"": 6}, {""path"": ""images/annotated/Intent_Analysis_and_Prediction/Intent_Analysis_and_Prediction_0000/7.jpg"", ""index"": 7}, {""path"": ""images/annotated/Intent_Analysis_and_Prediction/Intent_Analysis_and_Prediction_0000/8.jpg"", ""index"": 8}]}, ""target_entities"": [{""entity_type"": ""object"", ""bbox"": [1679.896424515243, 336.4967389084846, 1719.9091130506677, 353.302068093363], ""index"": 1, ""label"": ""white car""}, {""entity_type"": ""object"", ""bbox"": [1528.9666900232585, 356.1481282155713, 1571.4976411319617, 372.90274531899985], ""index"": 2, ""label"": ""white car""}, {""entity_type"": ""object"", ""bbox"": [1325.292316516543, 383.42644083808466, 1371.2348436161008, 404.1615636883276], ""index"": 3, ""label"": ""white car""}, {""entity_type"": ""object"", ""bbox"": [1528.1624063015477, 710.9694906166859, 1575.2597356570438, 728.5057302703281], ""index"": 8, ""label"": ""white car""}], ""question_meta"": {""category"": ""Cognition"", ""subcategory"": ""Intent Analysis and Prediction""}, ""question"": ""Given the bounding boxes, how will the car travel at the T-junction from the ground and aerial perspectives?"", ""options"": {""A"": ""Proceed Straight"", ""B"": ""Turn left"", ""C"": ""Turn right"", ""D"": ""Pull Over in an Emergency ""}, ""answer"": ""C""}"
Orientation_Classification,739,question_id|metadata|target_entities|question_meta|question|options|answer,"{""object"": 739}",0,0,739,question,metadata.data_resources,question_id,0,"{""question_id"": ""0000"", ""metadata"": {""data_source"": ""visdrone"", ""data_type"": ""single_image"", ""data_resources"": [{""path"": ""images/annotated/Orientation_Classification/Orientation_Classification_0000.jpg"", ""index"": 0}]}, ""target_entities"": [{""entity_type"": ""object"", ""bbox"": [427.1256510214291, 493.1210305239178, 505.6077612058364, 530.6768869311802], ""index"": 0, ""label"": ""brown car""}], ""question_meta"": {""category"": ""Perception"", ""subcategory"": ""Orientation Classification""}, ""question"": ""Given the bounding box, what is the immediate motion direction of the brown car relative to its own orientation?"", ""options"": {""A"": ""Moving straight"", ""B"": ""Turning right"", ""C"": ""Turning left"", ""D"": ""Stationary (no movement)""}, ""answer"": ""B""}"
